title,rating,snippet
give me IL pls,5,"love you, give me luck."
OM CHAUDHARY,5,The great game and graphics are best 💯 but my mobile almost blast 💥💣 😭
Urchy Idica,5,Year ago I can't play this in phone and in computer but now I can play this on I'm phone
Lourde Ezekiel,4,Cool game i love exploring and adventure games. 4/5 starts cus i hate the slow the characters talk.
Kirishu Raj,3,Because this game graphics also better than all games
INK WASFOUND,5,:3 silly game really enjoyed it
Vanshika Rajdev,5,Quite heavy RPG game but I like every elements.
Donny Rahman,1,"Developer tolol blunder parah story natlan gajelas, gaguna babi hapus aja gamenya bisu impek."
JC Banton,1,"i love everything about this game but except the fact the bad designs, diversity, and personalities of the characters honestly pains me physically and mentally. For example, Citlali having a crush for Aether is honestly such a weird thing and she is just plain loli bait when she's supposed to be this ""granny"". The big eyes, plushies and pillows make me feel like she isn't really the same person she was on 5.1.."
Ирина Гальд,1,Патамушта
Nurul Afiqah Sharuddin,5,I know this is adventure game but I love the story and the character style the story is amazing!
Chander,5,Best game in world 🌍
Omar Aljalali,5,AMAZING🥇!
Samothrace,1,"Changing my review 4 years later because this game seems to be going in a direction that doesn't suit me. If you're here to collect male characters bc you saw pretty art on Twitter, this ain't it. They're not releasing anymore male characters."
Nitin shekhawat,5,I have never played a game like this in my life oh my
Unknown n,1,Still no improvement!!!
rahman mohd,5,really nice good graphics very nice storyline and gameplay very chill not toxic no lag beautiful game
Fito S,4,"there is actually a bug at natlan on tonatiuh quivers quest when i about searching the third burning stones,my pet cant get back and theres no any way to solve this problems."
Sharul,5,Bole la
Yogendra Tiwari,5,Way too good than expected
Let Log,2,"The game is great, but the experience in playing is pretty painful. Mainly stems on explorations and no skip button. Exploration cause climbing a high cliff, reaching a occulus that is way up the air is painful to do and the solution the devs did is to incorporate it to a character. They incentivises to pull that character just because of that and I hated it the devs essencially lock a small QOL behind paywall. Second is the skip button. Just put one cuz not everyone has a time to spare"
Jaries Canayon,2,GIVE ME BACK THE NON FANSERVICE CITLALI PLEASE. 5.3 better be so peak it'll make me forget about the fanservice.
Sibelle Harb,5,Awesome!!!
Lili,1,"I have been playing Genshin since 2021, and I love this game so much. But recently, Genshin just keeps disappointing. Where are the male characters?! This year we've only gotten 4 male characters; 3 of them were 4* and Kinich was the only 5*. This is unfair to us, female players, and everyone that wants more male characters. Kinich, Ororon & Capitano were also cast aside in the Archon Quests. Literally, it feels like it's just a bare minimum. Natlan was pretty disappointing as well. Do better."
Nur Rashidah,5,Good game
Gopal Dss,5,That is a pretty good game
Rain Clouds,1,"This game has been complete trash ever since Liu Wei the gooner took over management(the same guy who said men in their 30s love 16-18yr old teens girls the most🤢🤮). I refuse to call him ""Da Wei"" since it's just a nickname meaning Big Wei and we all know he's overcompensating for something that is far from big. We can all see the direction Genshin Impact is going for the past year since he took over and it's been nothing but mindless fanservicing to the most depraved incels."
M K,1,"I've been playing Genshin since its release and have enjoyed many aspects of the game. However, as someone who appreciates male characters, I've found the recent direction of the game extremely disappointing. It feels like the content and character releases are heavily focused on catering to ""waifu"" fans, leaving those who enjoy male characters with fewer options. It's clear the developers are responding to a specific audience, this shift has made me feel alienated as a long-time player."
Thedump Guy,5,No comments. It's absolutely amazing this game is!!!
Nikesh Vishwakarma,3,I just started playing so give me some time
Tim Justine Ingco,4,"Loved this game but PLEASE FIX THE GRAPHICS GLITCH IN SOME PHONES im using an OPPO A94 it glitches on dvalin and signora boss and i dont have dmg text, Ice and grass pls Fix this game on my device id rate 5 star if you fix it please i already played so much of your game"
Raine Ashley Vidamo,5,"Its quite a good game for people that like freeplay games!the lore is really good are intresting, and the charaters are good but the comunity is really rude and weird but its definetly recomended"
Elliot Anderson,3,"I've loved this game for years, but seriously what is happening with natlan male characters, every region we get less 5 star male characters? What is happening?"
Kuber Agarwal,5,Great game
blackcloverongoing 10,5,Great
Yomiko Alejandrino,5,Honestly this is like botw it has the same mechanic like climbing gliding and stamina but it's just better than botw because it's big has multiplayer and more mechanics than botw ever had but I did wish the game size wasn't so big like 30 gb and that they would also add a skip dialogue feature because they are just so many dialogue but aside that it's pretty good and I really really liked the story this is a 10/10 for me
Faris Danish,5,Perfection
FamilyAsfa Asfa,5,This game is very good
Acumalaka,1,aku mau neuvilete bukan mau diluc mihoyo jembut
AKM 04,1,"1. Newer characters are extremely powerful than old ones which make me feel as if my old characters are useless 2. Poor balancing. Meta keeps changing too quick 3. Game is extremely repetitive at end game. 4. Eventhough the resin is increased to 200 it still isnt doing much, it needs a reserved resin system like honkai star rail or something else it's extremely hard to catchup after coming back after not playing for a long time. 5. Earning primo is a pain and not very easy - way worse than HSR"
Ayesha Plaba,2,"Errmm it was great n all fontaine is its peak the new nation ""natlan"" isnt all that great specifically characacter designs now citlali is a good design but i hate her 5.3 attitude i like 5.1 citlali more and the lore is good and the rewards are great."
MoonMoon,2,"Dear developers, I've been facing this problem for a month now where I already downloaded the new version update but then it asks me for an additional 6 GB, and when I do download them it starts ""splitting old resources"" then lags at around 39% and doesn't continue, so I closed the game and reopened it only to find it asking for another 6 GB (Note: those 6 GB are not part of the main update package and they don't take any storage). It's been a month of this, what should I do? Please do fix it"
Lanlan Zhao,5,This game is amazing in my own opinion there's sometimes lag while I play but no other further problems! (Make sure you have a lot of gb left in your storage to play this game!)
B.,1,"I've been playing since 2022, and I genuinely liked this game ever since. The characters, the exploration, the music are incredible. However, in the last patches Hoyo has been messing up. The lack of diversification in African/Latino-inspired cultures, bad and nonsensical designs, lack of male chars, infantilization of a… wise chief known as 'granny'? C'mon. Among another issues. I can't believe this game is worsening. It's really sad, but there's not much to do."
Dennis del Rosario,1,"Played this game for three years daily. Did everything to keep my account secure, even avoiding multi-player. Haven't been able to login for more than a week. We play games to have fun when we want. When I'm denied that by not being able to login to play; it disqualifies that game from my play list. Might come back when Skirk drops. Hoyo denied my daily grind so uninstall for me."
Jake Ramos,1,Abbys too hard not for F2P >:(
Gagan . Sonekar,5,Good
Ryu Koki,1,"Why is the weapon banner not the same as the exclusive limited character banner, the 1/1 banner is scam I want to pull the weapon but cant due to limited time"
Acong Acong,5,Nice game
Hamid Uddin,5,It is a very exciting game...!!
Jejomar Pedraza,1,"I would rate it negative 5 star if i can, Natlan is a flop for me. Scrapping Xbalanque and wasting capitano for the sake of generic waifus. For the next 6 months, there are only 2 males and both are useless 4stars, there's no more Male 5star for the entirety of 5.x patch so that makes only 1 Male 5star for 1 year or 2 (assuming 2025 will also not make any 5 star male) i hate this so much, you know males are in-demand yet you refuse to make even the slightest effort, i wasted 4 years, Uninstalled"
Davin Nicholas 'pleaze',5,So good
Dorian Grey,5,It plays like a legit game and it's actually huge a clear win win situation.
Rence Capili,5,Exceptional
Asia Garcia,5,its good
MANKIRAT SINGH,5,Best Best
Rio Pascua,1,it is disappointing to feel baited and betrayed after 4 years
Yash Dhane,5,Super 😍
A. Joestar,1,"Gooner bait game especially natlan, be better."
ANIME FAN,5,It's is my favourite game but the size of the game is too high 28 gb
Mohamed Fasil,4,This game graphics designs or good I had one doubt can I get any crypto coin in this game
Mohamed Nawas,1,"Lot of talking, little action. Please make the quest dialogues skippable like Wuwa, atleast for the world quests Lot of useless gibberesh with paimon irritating voice"
Preston Calvitt,5,Love this game it was my first gotcha game
Devansh Aagri,5,Full experience like I watched a anime 👍👍
samoul chum,5,Love it
Kylan B,5,Dope
Ataeru “Zack” Zetsuketa,5,Of course I like it
Ashrafi Akter,5,Fun story telling extremely good gameplay
Marcos Mendoza,5,"First time playing this game it feels like it super fun and funny, cute at same time. Thank you for this wonderful game. This game is better then cloud or clout genshin impact. I hope everyone get to enjoy this game full version it way more better. And have Zero Complaints. There small character that looks so adorable 😍 💕."
Anuj Minj,4,I have not played yet
Sokka,4,"I play on PC, downloaded to leave a review. Absolutely brilliant, but I dread the puzzles. If you download be comfortable with pulling up a yt guide every so often"
Eva Rijos,5,5 star
Leonardo Sevilla,5,"Nice experience,so so good"
Georgette Ejanda,4,Plsss update venti🫶
Luu Jack,5,I love it I use to play so much it's the most beautiful and the effects are just amazing
Carla Marie Madrigal,5,very fun
Chingkhei Luwang,5,"Perfect, just perfect,"
ปราง,1,เศวสยากมาก ยังแจกน้อยอีก ฟาม 1 ชม. เพิ่งได้แค่ 1 โรล
João Lucas,5,Muito bom mas é muito mb
Ahmad Nazhief,3,I'm just quitting after bad luck struck...
Angela Cruz,5,"I've been playing genshin for at least two years now, but I still don't think I'd get tired of it. The genshin community is very fun, and I would and have recommended it to others. To be honest, this game is why I have a gambling addiction in the game (lol). I love xiao!!!"
Jedidiah Apolonio,2,"I hate what this game is turning into. At first, it was fun, it was based on a fantasy world but now with the release of natlan, everything is just turning modern. Don't get me started on the female designs, Citlali is supposed to be a grandma isn't she? Then why the hell is she acting like some teenager crushing over aether? Don't you listen to the players' complaints about this game? Have you ever tried changing the designs? This game was supposed to be a fantasy game, why is it so modern?"
Natilie Mcqueen,1,"Why do I have to wait literally 2 hours to download resources? It takes too long, and I just wanna see what the game is like. 1 star, get better"
John Edross Simon,5,Sweet character nice play style cool graphics AND YOU ALWAYS HAVE SMTH TO DO ^_^!!
xxxtentacion 17,5,The best mobile adventure game (GOAT)
James Parker,5,Fun and exploring
Bayu Black,1,Too much female characters....
Steven Baldwin,5,"Honestly, I spend way too much time on this game for it to ve less than 5 stars. It could be better...but i love it anyway ❤️"
Daniela Zambrank,5,El mejor juego
Star Peep,1,I agree with the first review comment on it becoming a waifu game. And there is some suspicion that you changed the story post-Fontaine.
finky ishere,1,Huh
Cayden Davis,5,Very fun story
Andrew,3,I think it okay but when you open the app it takes so long
Josie Ferguson-Hughes,4,"It is an absolute GORGEOUS game. Emphasis on gorgeous. The graphics, even on mobile, are phenomenal. Exploration, quest lines, lore, character design and etc are probably one of the best things I've seen. The only downside? The Primogems. They're a struggle to obtain. I just wish there was a domain or a quest that you could do multiple times in a row to get primogems. Probably not 50 gems, but 20 or 30 and you can do it multiple times in a row. Still adore the game however!"
livefiji,1,It takes to long to download 😰😥😭
Trini Wini,1,Terrible male:female ratio
Mercury,5,😚❤️❤️
Joselin Victoria,1,"El juego esta bien, pero no me gusto cuando me sali y volvi entrar porque dice ""ERROR DE CONEXION"" la cual verifique y en otros juego jugue sin problemas. Solucionen eso porfavor"
ZG gaming,5,I like this game
Paul Silaghi,4,"It's very beautiful the game, the characters, graphics, stories and animations but im gonna give it a 4 star instead of 5 because of the 50 50s I'm always losing."
qoffii,1,racism
Liliana Guzmán,4,Please let us Android users connect controllers to our phones so we can play better 😩
Mahan Mahmoudi,5,How many data haz this game for mobile?
Olivia Gray,5,"I love this game so much but I will admit it takes up alot of space and has trouble with lagging and loading but that's only if you play it on your phone so I recommend playing on a gaming console. The art style and animation is beautiful and looks like it took alot of time and effort to make. The stories and quests are really fun. And I find it fun to try and work hard to get characters , it's very rewarding. Also make sure you get a lyre to play because it sounds so pretty."
Kate Johnson,4,Missions are fun to go on. Updates take forever. Characters are awsome. Not really a problem with lag other than sometimes. NO ADS🥳🎉
Liven Kaloy,5,Great gamplay
Hitesh Vaghela,5,Very Nice Storytellin. Awesome Game....🥳🥳🥳🥳
Matilda Maroufi,5,"I Love the graphics, characters and lore and everything about it is amazing and about how you can play as characters and fight with them, the lore is absolutely amazing. If you want to go into a game that has a good backstory and lore then Genshin Impact is the one! ❤"
Millie Hemming,5,I FIND IT GOOD AND THE EDITS ON YOUTUBE ARE GREAT BUT IVE HAD TO DELETE ALL THE APPS IM N9T USING FOR IT AND IM STILL NOT ABLE TO GO ON IT!?PLEASE FIX THIS!!edit: I've now been able to get on this and I'm really enjoying it and highly recommend it!
Lucky ali,5,This game is nice game
Badhon FF,5,Good game
lilisoul,5,"A game that will never be repeated. This game has its own fans. It is great in every way. It has different and attractive characters I can only say that it is perfect, it has very good and strong graphics I am a fan Ganshin Impact 🦋✨"
Ana Maria,2,"Meh it's okay, haven't played the new Natlan update but to be honest I feel like it's getting boring. It's catering too much to creeps, while male characters are covered up most of the female characters are dressed up in literal bikinis. It's honestly disappointing, not to mention the lack of diversity in skin color and the downgrade of character designs. It's just not as intriguing and captivating as it used to be. I hope it takes a turn for the better and that it doesn't follow ZZZ's path.."
se xy,1,"update: repetitive, sometimes boring, makes me feel im all alone in this game"
Kuriyama Novel,1,Trash
Jazzie B,5,Very good game
Alex Ivanof,1,"I've been playing Genshin since version 1.6 and have loved it since. But the fact that only one new male 5-star got released for the entire year of 2024 is ridiculous. It feels like since the Natlan release all of the male characters have been pushed to the side. They try to shove as many ""hot women"" in your face as possible during the new AQ but it all comes off weird because none of them even feel like real people. I miss when Genshin cared about its story and characters and I may stop playing"
Tamim Man,1,This game is fully haram for other religious activists. That's why I'm now deleting this game
